ad_name,category,reason
"BeautyShot_V4_BNPLEvergreenOffer__IMG_LearnMore_lead",Windows,"No URL provided"
"Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_",Windows,"No URL provided"
"Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_",Windows,"No URL provided"
"Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_",Windows,"No URL provided"
"Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_",Windows,"No URL provided"
"Whiteboard_ClickyNumberWindowsBrand_V2_IMG_LearnMore_",Windows,"No URL provided"
"Whiteboard_ClickyStateBrand_Cost_IMG_LearnMore_",Windows,"No URL provided"
"Whiteboard_ClickyStateBrand_EnergyBills_IMG_LearnMore_",Windows,"No URL provided"
"d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Image|st:Clicky|f:LuxWindowsMountains",Windows,"No URL provided"
"d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV2",Windows,"No URL provided"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:Cleobathra",Bath,"No URL provided"
